,yield_spread,credit_spread,jobless_claims,building_permits,volatility_proxy
1975-01-31,-0.3700000000000001,-3.3100000000000005,-508000.0,869.0,-19.467792696747686
1975-02-28,-1.1499999999999995,-3.2600000000000007,-522125.0,726.0,-16.709174835187294
1975-03-31,-2.1900000000000004,-2.75,-552750.0,729.0,-17.26222235225648
1975-04-30,-2.74,-2.3499999999999996,-543650.0,709.0,-16.292137863989993
1975-05-31,-2.8400000000000007,-2.629999999999999,-536187.5,866.0,-14.698889062907055
1975-06-30,-2.3100000000000005,-2.759999999999999,-508600.0,914.0,-12.604940772748568
1975-07-31,-1.9600000000000009,-2.49,-499062.5,946.0,-11.092181659774793
1975-08-31,-2.2600000000000007,-2.1899999999999995,-452625.0,1020.0,-17.11155464334473
1975-09-30,-2.1899999999999995,-2.1799999999999997,-452100.0,994.0,-16.834529052185122
1975-10-31,-2.3200000000000003,-2.4799999999999986,-447687.5,1064.0,-15.110713219532016
1975-11-30,-2.830000000000001,-2.51,-430125.0,1096.0,-10.451774746972509
1975-12-31,-2.8,-2.5600000000000005,-408900.0,1110.0,-12.61139519450197
1976-01-31,-2.87,-2.67,-379125.0,1091.0,-13.150125795136173
1976-02-29,-3.0200000000000005,-2.45,-376100.0,1195.0,-13.02024757689931
1976-03-31,-2.8900000000000006,-2.389999999999999,-353750.0,1190.0,-11.864075696284853
1976-04-30,-2.7399999999999993,-2.38,-353687.5,1164.0,-11.235248752935787
1976-05-31,-2.6100000000000003,-1.959999999999999,-370125.0,1132.0,-11.08630151963067
1976-06-30,-2.38,-2.0300000000000002,-382600.0,1194.0,-10.373093840637331
1976-07-31,-2.5200000000000005,-1.9900000000000002,-394375.0,1188.0,-7.8110153333947965
1976-08-31,-2.4799999999999995,-1.870000000000001,-391200.0,1245.0,-9.445585802768887
1976-09-30,-2.34,-1.8100000000000005,-388125.0,1309.0,-10.426989959201824
1976-10-31,-2.3900000000000006,-1.879999999999999,-401625.0,1481.0,-12.53614264719933
1976-11-30,-2.34,-1.9400000000000004,-408750.0,1425.0,-12.162420008924778
1976-12-31,-2.2199999999999998,-2.249999999999999,-397812.5,1531.0,-7.396400328656333
1977-01-31,-2.5999999999999996,-1.87,-386625.0,1511.0,-8.469590501902093
1977-02-28,-2.71,-1.7299999999999995,-384000.0,1466.0,-6.585966278302383
1977-03-31,-2.7699999999999996,-1.6599999999999993,-458187.5,1560.0,-8.678115536428438
1977-04-30,-2.6399999999999997,-1.7000000000000002,-372750.0,1660.0,-11.42886869734644
1977-05-31,-2.1100000000000003,-1.5499999999999998,-363650.0,1660.0,-8.755734755496922
1977-06-30,-1.8900000000000006,-1.63,-377875.0,1668.0,-7.539837689822199
1977-07-31,-1.9100000000000001,-1.5399999999999991,-367687.5,1752.0,-9.019945728335408
1977-08-31,-1.5,-1.42,-360400.0,1687.0,-8.032778897801283
1977-09-30,-1.2000000000000002,-1.4600000000000009,-367437.5,1780.0,-7.637566881241575
1977-10-31,-1.0499999999999998,-1.370000000000001,-366562.5,1674.0,-8.92821595208057
1977-11-30,-1.0700000000000003,-1.3699999999999992,-362400.0,1758.0,-13.052159279437307
1977-12-31,-1.1300000000000008,-1.2999999999999998,-355937.5,1771.0,-8.882289797824333
1978-01-31,-1.2599999999999998,-1.21,-358450.0,1754.0,-9.51715945751695
1978-02-28,-1.2499999999999991,-1.17,-351187.5,1740.0,-9.448582757405992
1978-03-31,-1.2499999999999991,-1.1800000000000015,-370250.0,1736.0,-8.446930015206208
1978-04-30,-1.2600000000000007,-1.17,-366875.0,1799.0,-13.617607591172534
1978-05-31,-0.9899999999999993,-1.1400000000000006,-332950.0,1948.0,-11.405351770916333
1978-06-30,-0.8600000000000012,-1.1399999999999988,-325437.5,1766.0,-11.030439470712123
1978-07-31,-0.830000000000001,-0.9599999999999991,-322437.5,1983.0,-9.703013850542359
1978-08-31,-0.370000000000001,-1.0700000000000003,-344450.0,1786.0,-10.563950593048258
1978-09-30,0.02999999999999936,-1.0,-351812.5,1691.0,-11.199275093784744
1978-10-31,0.3200000000000003,-0.9499999999999993,-328450.0,1751.0,-14.240555307294645
1978-11-30,0.9499999999999993,-1.0199999999999996,-327125.0,1781.0,-19.970751534206464
1978-12-31,1.0199999999999996,-0.9299999999999997,-322687.5,1795.0,-14.808742881896386
1979-01-31,0.9700000000000006,-1.0300000000000011,-352600.0,1818.0,-10.565662846304724
1979-02-28,0.9600000000000009,-0.9800000000000004,-359562.5,1461.0,-10.197693171947327
1979-03-31,0.9700000000000006,-1.1400000000000006,-353437.5,1492.0,-8.951747171660616
1979-04-30,0.8300000000000001,-1.1500000000000004,-359400.0,1720.0,-9.26088427431321
1979-05-31,0.9900000000000002,-1.2200000000000006,-406187.5,1597.0,-10.343912162636189
1979-06-30,1.379999999999999,-1.4700000000000006,-361187.5,1684.0,-7.95272177164038
1979-07-31,1.5200000000000014,-1.3399999999999999,-353350.0,1640.0,-9.416781101922506
1979-08-31,1.9100000000000001,-1.3200000000000003,-373000.0,1534.0,-6.67567538048287
1979-09-30,2.0999999999999996,-1.209999999999999,-392875.0,1591.0,-13.138737793832933
1979-10-31,3.469999999999999,-1.0999999999999996,-385800.0,1638.0,-16.50305755419618
1979-11-30,2.5299999999999994,-1.3399999999999999,-397937.5,1481.0,-13.62023666636566
1979-12-31,3.389999999999999,-1.67,-405937.5,1276.0,-7.771995264849014
1980-01-31,3.0199999999999996,-1.6199999999999992,-422150.0,1254.0,-14.527957161741966
1980-02-29,1.7200000000000006,-1.1600000000000001,-420750.0,1280.0,-15.862088819395337
1980-03-31,4.440000000000001,-1.6999999999999993,-417625.0,1199.0,-22.719424697499385
1980-04-30,6.139999999999999,-2.719999999999999,-424400.0,988.0,-18.317167268298487
1980-05-31,0.8000000000000007,-2.99,-492125.0,808.0,-13.318307766223258
1980-06-30,-0.3099999999999987,-2.9300000000000015,-591900.0,861.0,-12.972528562789318
1980-07-31,-1.2200000000000006,-2.4000000000000004,-615500.0,1118.0,-11.891843619349071
1980-08-31,-1.4900000000000002,-2.0500000000000007,-579875.0,1259.0,-14.66154137691974
1980-09-30,-0.6400000000000006,-2.1899999999999995,-542500.0,1367.0,-18.185681882818244
1980-10-31,1.0600000000000005,-2.4800000000000004,-498000.0,1484.0,-15.795277841014919
1980-11-30,3.17,-1.9600000000000009,-454250.0,1366.0,-16.685784456330936
1980-12-31,6.059999999999999,-2.3000000000000007,-417200.0,1383.0,-18.661506983119576
1981-01-31,6.509999999999998,-2.459999999999999,-411562.5,1249.0,-13.732155560267293
1981-02-28,2.74,-2.1799999999999997,-411200.0,1221.0,-14.590817728982616
1981-03-31,1.58,-2.2200000000000006,-420562.5,1199.0,-15.552323220710363
1981-04-30,2.040000000000001,-1.8800000000000008,-417187.5,1183.0,-10.07820014343097
1981-05-31,4.42,-1.8499999999999996,-407625.0,1190.0,-11.056002654576194
1981-06-30,5.630000000000001,-2.33,-416050.0,1173.0,-10.905240615989701
1981-07-31,4.76,-1.8900000000000023,-424750.0,976.0,-11.497959690605223
1981-08-31,2.880000000000001,-1.4000000000000004,-438250.0,935.0,-14.352186185981635
1981-09-30,0.5499999999999989,-1.6000000000000014,-442400.0,889.0,-18.178081870667036
1981-10-31,-0.07000000000000028,-1.959999999999999,-459875.0,847.0,-15.371666068534015
1981-11-30,-0.08000000000000007,-3.0,-486900.0,731.0,-13.804107083580961
1981-12-31,-1.3500000000000014,-2.83,-505125.0,748.0,-10.186261293582845
1982-01-31,-1.3699999999999992,-2.5100000000000016,-538750.0,796.0,-18.239970682452896
1982-02-28,0.34999999999999964,-2.75,-531750.0,794.0,-15.514205945353146
1982-03-31,0.8200000000000003,-2.960000000000001,-545437.5,808.0,-14.324884416506766
1982-04-30,1.0700000000000003,-2.910000000000002,-544250.0,891.0,-12.136958984393706
1982-05-31,0.8300000000000001,-3.0200000000000014,-576500.0,888.0,-10.147179099823603
1982-06-30,-0.15000000000000036,-2.620000000000001,-584900.0,953.0,-13.29311648596104
1982-07-31,-1.3599999999999994,-2.8500000000000014,-598187.5,913.0,-10.834553409844219
1982-08-31,-2.9400000000000013,-3.26,-580400.0,1044.0,-26.450683269299226
1982-09-30,-2.0299999999999994,-3.290000000000001,-605750.0,926.0,-16.371789440122992
1982-10-31,-1.1999999999999993,-3.8200000000000003,-649500.0,1042.0,-26.504231807124896
1982-11-30,-1.3500000000000014,-3.75,-662450.0,1149.0,-26.116138552762823
1982-12-31,-1.5899999999999999,-3.6000000000000014,-608250.0,1229.0,-17.246894004669507
