Date,Size,Value,Momentum,Profitability,Investment
1967-02-01,0.0301,-0.0226,0.0351,0.0166,-0.009300000000000001
1967-03-01,0.0177,0.004699999999999999,0.0139,0.008199999999999999,-0.015
1967-04-01,0.0043,-0.0229,0.0052,0.030899999999999997,-0.037200000000000004
1967-05-01,0.0245,0.008,0.0066,-0.011899999999999999,0.016200000000000003
1967-06-01,0.0642,0.008,0.0601,-0.0084,-0.024900000000000002
1967-07-01,0.0358,0.0275,-0.011000000000000001,0.0045000000000000005,0.026600000000000002
1967-08-01,0.0077,0.0143,-0.0132,0.003,0.013500000000000002
1967-09-01,0.024300000000000002,-0.024700000000000003,0.0239,0.0022,-0.009300000000000001
1967-10-01,0.005699999999999999,-0.0329,0.0368,0.0097,-0.0274
1967-11-01,-0.0006,-0.0171,0.012199999999999999,0.0131,-0.022799999999999997
1967-12-01,0.0559,-0.0054,0.032,-0.0074,-0.0003
1968-01-01,0.046799999999999994,0.048499999999999995,-0.0446,-0.0489,0.0646
1968-02-01,-0.0292,0.0123,-0.0334,-0.0008,0.0246
1968-03-01,-0.0155,-0.0063,0.0319,0.010700000000000001,-0.0115
1968-04-01,0.0617,-0.011000000000000001,0.051100000000000007,0.0279,-0.0373
1968-05-01,0.0697,0.008199999999999999,0.0375,0.0049,-0.0192
1968-06-01,-0.0033,0.0066,-0.0209,-0.015600000000000001,0.027999999999999997
1968-07-01,-0.0139,0.053099999999999994,-0.0089,-0.0318,0.0379
1968-08-01,0.0233,0.009899999999999999,0.019,-0.0066,0.004699999999999999
1968-09-01,0.0281,0.003,-0.0064,-0.0194,0.0087
1968-10-01,-0.0043,0.0282,-0.0146,-0.013600000000000001,0.028399999999999998
1968-11-01,0.0239,-0.0096,0.0174,0.0044,-0.025099999999999997
1968-12-01,0.0355,0.0004,0.0032,-0.0191,0.019299999999999998
1969-01-01,-0.0042,0.0166,-0.0015,-0.0152,0.0129
1969-02-01,-0.0416,0.0089,-0.0255,0.0199,0.0075
1969-03-01,-0.0051,-0.0042,0.0406,-0.0134,-0.0044
1969-04-01,-0.0078000000000000005,0.0002,0.0124,0.0028000000000000004,-0.0016
1969-05-01,-0.0018,0.0062,0.0181,-0.0087,0.0105
1969-06-01,-0.0547,-0.011000000000000001,-0.0231,0.042699999999999995,-0.0163
1969-07-01,-0.0339,0.0118,0.0182,0.0151,0.0184
1969-08-01,0.0058,-0.0375,0.021400000000000002,0.0106,-0.0398
1969-09-01,0.0129,-0.0322,0.024300000000000002,0.0336,-0.0062
1969-10-01,0.0391,-0.031200000000000002,-0.0436,0.0008,-0.0208
1969-11-01,-0.0242,-0.0125,0.036699999999999997,0.013999999999999999,0.0021
1969-12-01,-0.037200000000000004,-0.0288,0.0527,0.0255,-0.0192
1970-01-01,0.0308,0.0317,0.005600000000000001,-0.0175,0.039599999999999996
1970-02-01,-0.025699999999999997,0.0369,0.0027,-0.0241,0.0287
1970-03-01,-0.0242,0.0408,-0.0036,-0.0106,0.044199999999999996
1970-04-01,-0.0634,0.061399999999999996,-0.0083,-0.0063,0.059000000000000004
1970-05-01,-0.0446,0.0332,-0.026600000000000002,-0.0129,0.0379
1970-06-01,-0.021,0.0044,0.0564,0.0014000000000000002,0.0271
1970-07-01,-0.0066,0.009300000000000001,-0.031200000000000002,-0.003,0.0172
1970-08-01,0.0144,0.0141,-0.0668,0.005699999999999999,-0.0014000000000000002
1970-09-01,0.085,-0.0541,-0.0864,0.0025,-0.059800000000000006
1970-10-01,-0.0436,0.0021,0.09449999999999999,0.0181,0.0225
1970-11-01,-0.0388,0.0158,0.0259,0.015300000000000001,0.0139
1970-12-01,0.028900000000000002,0.0104,-0.023,0.0028000000000000004,0.003
1971-01-01,0.07440000000000001,0.0155,-0.06860000000000001,-0.0202,-0.0006
1971-02-01,0.020099999999999996,-0.0124,0.008199999999999999,0.0064,-0.008
1971-03-01,0.0222,-0.0395,-0.013999999999999999,0.0178,-0.0265
1971-04-01,-0.0036,0.0086,0.013600000000000001,-0.0146,0.0085
1971-05-01,-0.011200000000000002,-0.013300000000000001,0.009300000000000001,0.0149,0.002
1971-06-01,-0.0151,-0.0197,0.0269,0.0158,-0.0167
1971-07-01,-0.0143,-0.0002,-0.0232,0.0058,0.0139
1971-08-01,-0.0023,0.0264,0.0344,-0.0043,0.0259
1971-09-01,0.0026,-0.028999999999999998,0.021,0.0254,-0.0158
1971-10-01,-0.0159,-0.0051,0.005,0.015600000000000001,-0.0139
1971-11-01,-0.0286,-0.0167,0.0151,0.0241,-0.0044
