,yield_spread,credit_spread,jobless_claims,bldg_permits,vix
1967-02-01,0.3700000000000001,-1.1900000000000004,-209000.0,995.0,-2.2103279551337165
1967-03-01,-0.009999999999999787,-1.3099999999999996,-229000.0,907.0,-2.0792915052473595
1967-04-01,-0.54,-1.2400000000000002,-260750.0,955.0,-2.8787178926028676
1967-05-01,-0.9099999999999997,-1.1100000000000003,-264000.0,1035.0,-2.757955920530027
1967-06-01,-1.0399999999999996,-1.1300000000000008,-235750.0,1076.0,-3.252904734356881
1967-07-01,-1.37,-1.0999999999999996,-232000.0,1169.0,-1.5323152188661435
1967-08-01,-1.3800000000000003,-1.0499999999999998,-232500.0,1177.0,-1.6658810380112916
1967-09-01,-1.3099999999999996,-1.1000000000000005,-212750.0,1229.0,-1.838843765415361
1967-10-01,-1.6000000000000005,-1.0399999999999991,-216000.0,1279.0,-2.3371937620737517
1967-11-01,-1.62,-0.9699999999999998,-216750.0,1280.0,-3.0333547529973086
1967-12-01,-1.1900000000000004,-1.2299999999999995,-206250.0,1297.0,-1.618174426134349
1968-01-01,-0.9199999999999999,-1.3099999999999996,-215000.0,1315.0,-1.982222255575913
1968-02-01,-0.8499999999999996,-1.2400000000000002,-215750.0,1179.0,-3.095741204684503
1968-03-01,-0.6900000000000004,-1.1099999999999994,-210750.0,1342.0,-3.821257115143098
1968-04-01,0.1200000000000001,-1.33,-196500.0,1370.0,-4.009761949042857
1968-05-01,0.25,-1.1600000000000001,-199000.0,1286.0,-1.9786177368843096
1968-06-01,0.35000000000000053,-1.3500000000000005,-199000.0,1297.0,-3.171111877592735
1968-07-01,0.5300000000000002,-1.4800000000000004,-192250.0,1300.0,-3.1101227441677466
1968-08-01,0.6100000000000003,-1.4000000000000004,-196250.0,1344.0,-1.9536978670951757
1968-09-01,0.3200000000000003,-1.33,-197750.0,1357.0,-1.5519890226194277
1968-10-01,0.33000000000000007,-1.2599999999999998,-191000.0,1464.0,-1.8113970110182838
1968-11-01,0.1200000000000001,-1.3099999999999996,-186000.0,1421.0,-1.3218771933598255
1968-12-01,-0.010000000000000675,-1.2000000000000002,-184000.0,1436.0,-1.7015631624381886
